schema,tabla,indice,definicion
public,blog_comments,idx_blog_comments_blog_id,CREATE INDEX idx_blog_comments_blog_id ON public.blog_comments USING btree (blog_id)
public,blog_comments,idx_blog_comments_created,CREATE INDEX idx_blog_comments_created ON public.blog_comments USING btree (created_at DESC)
public,blog_comments,idx_blog_comments_parent,CREATE INDEX idx_blog_comments_parent ON public.blog_comments USING btree (parent_comment_id)
public,blog_config,blog_config_pkey,CREATE UNIQUE INDEX blog_config_pkey ON public.blog_config USING btree (id)
public,blogs,blogs_pkey,CREATE UNIQUE INDEX blogs_pkey ON public.blogs USING btree (id)
public,blogs,blogs_slug_key,CREATE UNIQUE INDEX blogs_slug_key ON public.blogs USING btree (slug)
public,blogs,idx_blogs_author,CREATE INDEX idx_blogs_author ON public.blogs USING btree (author_id)
public,blogs,idx_blogs_category,CREATE INDEX idx_blogs_category ON public.blogs USING btree (category)
public,blogs,idx_blogs_published,"CREATE INDEX idx_blogs_published ON public.blogs USING btree (published, published_at DESC)"
public,blogs,idx_blogs_slug,CREATE INDEX idx_blogs_slug ON public.blogs USING btree (slug)
public,clubs,clubs_pkey,CREATE UNIQUE INDEX clubs_pkey ON public.clubs USING btree (user_id)
public,clubs,idx_clubs_location,"CREATE INDEX idx_clubs_location ON public.clubs USING btree (lat, lng)"
public,clubs,idx_clubs_verified,CREATE INDEX idx_clubs_verified ON public.clubs USING btree (verified) WHERE (verified = true)
public,coaches,coaches_pkey,CREATE UNIQUE INDEX coaches_pkey ON public.coaches USING btree (user_id)
public,coaches,idx_coaches_featured,CREATE INDEX idx_coaches_featured ON public.coaches USING btree (is_featured) WHERE (is_featured = true)
public,coaches,idx_coaches_location_city,CREATE INDEX idx_coaches_location_city ON public.coaches USING btree (location_city)
public,coaches,idx_coaches_locations,CREATE INDEX idx_coaches_locations ON public.coaches USING gin (locations)
public,coaches,idx_coaches_price,CREATE INDEX idx_coaches_price ON public.coaches USING btree (price_per_hour)
public,coaches,idx_coaches_rating,CREATE INDEX idx_coaches_rating ON public.coaches USING btree (rating DESC)
public,coaches,idx_coaches_user_id,CREATE INDEX idx_coaches_user_id ON public.coaches USING btree (user_id)
public,coaches,idx_coaches_verified,CREATE INDEX idx_coaches_verified ON public.coaches USING btree (verified) WHERE (verified = true)
public,content_reports,content_reports_pkey,CREATE UNIQUE INDEX content_reports_pkey ON public.content_reports USING btree (id)
public,content_reports,idx_content_reports_assigned,CREATE INDEX idx_content_reports_assigned ON public.content_reports USING btree (assigned_to)
public,content_reports,idx_content_reports_created,CREATE INDEX idx_content_reports_created ON public.content_reports USING btree (created_at DESC)
public,content_reports,idx_content_reports_entity,"CREATE INDEX idx_content_reports_entity ON public.content_reports USING btree (reported_entity_type, reported_entity_id)"
public,content_reports,idx_content_reports_priority,CREATE INDEX idx_content_reports_priority ON public.content_reports USING btree (priority)
public,content_reports,idx_content_reports_reported_user,CREATE INDEX idx_content_reports_reported_user ON public.content_reports USING btree (reported_user_id)
public,content_reports,idx_content_reports_reporter,CREATE INDEX idx_content_reports_reporter ON public.content_reports USING btree (reporter_id)
public,content_reports,idx_content_reports_status,CREATE INDEX idx_content_reports_status ON public.content_reports USING btree (status)
public,conversation_activities,conversation_activities_pkey,CREATE UNIQUE INDEX conversation_activities_pkey ON public.conversation_activities USING btree (id)
public,conversation_activities,idx_activities_conversation,CREATE INDEX idx_activities_conversation ON public.conversation_activities USING btree (conversation_id)
public,conversation_activities,idx_activities_created,CREATE INDEX idx_activities_created ON public.conversation_activities USING btree (created_at DESC)
public,conversation_notes,conversation_notes_pkey,CREATE UNIQUE INDEX conversation_notes_pkey ON public.conversation_notes USING btree (id)
public,conversation_notes,idx_notes_conversation,CREATE INDEX idx_notes_conversation ON public.conversation_notes USING btree (conversation_id)
public,conversation_sla_status,conversation_sla_status_conversation_id_key,CREATE UNIQUE INDEX conversation_sla_status_conversation_id_key ON public.conversation_sla_status USING btree (conversation_id)
public,conversation_sla_status,conversation_sla_status_pkey,CREATE UNIQUE INDEX conversation_sla_status_pkey ON public.conversation_sla_status USING btree (id)
public,conversation_sla_status,idx_sla_status_conversation,CREATE INDEX idx_sla_status_conversation ON public.conversation_sla_status USING btree (conversation_id)
public,conversations,conversations_pkey,CREATE UNIQUE INDEX conversations_pkey ON public.conversations USING btree (id)
public,conversations,idx_conversations_assigned,CREATE INDEX idx_conversations_assigned ON public.conversations USING btree (assigned_to)
public,conversations,idx_conversations_contact,CREATE INDEX idx_conversations_contact ON public.conversations USING btree (contact_email)
public,conversations,idx_conversations_priority,CREATE INDEX idx_conversations_priority ON public.conversations USING btree (priority)
public,conversations,idx_conversations_search,"CREATE INDEX idx_conversations_search ON public.conversations USING gin (to_tsvector('spanish'::regconfig, ((((COALESCE(subject, ''::text) || ' '::text) || COALESCE(contact_name, ''::text)) || ' '::text) || COALESCE(contact_email, ''::text))))"
public,conversations,idx_conversations_status,CREATE INDEX idx_conversations_status ON public.conversations USING btree (status)
public,conversations,idx_conversations_tags,CREATE INDEX idx_conversations_tags ON public.conversations USING gin (tags)
public,conversations,idx_conversations_team,CREATE INDEX idx_conversations_team ON public.conversations USING btree (team_id)
public,conversations,idx_conversations_updated,CREATE INDEX idx_conversations_updated ON public.conversations USING btree (updated_at DESC)
public,direct_conversation_participants,direct_conversation_participants_conversation_id_user_id_key,"CREATE UNIQUE INDEX direct_conversation_participants_conversation_id_user_id_key ON public.direct_conversation_participants USING btree (conversation_id, user_id)"
public,direct_conversation_participants,direct_conversation_participants_pkey,CREATE UNIQUE INDEX direct_conversation_participants_pkey ON public.direct_conversation_participants USING btree (id)
public,direct_conversation_participants,idx_direct_participants_conversation,CREATE INDEX idx_direct_participants_conversation ON public.direct_conversation_participants USING btree (conversation_id)
public,direct_conversation_participants,idx_direct_participants_user,CREATE INDEX idx_direct_participants_user ON public.direct_conversation_participants USING btree (user_id)
public,direct_conversations,direct_conversations_pkey,CREATE UNIQUE INDEX direct_conversations_pkey ON public.direct_conversations USING btree (id)
public,direct_conversations,idx_direct_conversations_created_by,CREATE INDEX idx_direct_conversations_created_by ON public.direct_conversations USING btree (created_by)
public,direct_conversations,idx_direct_conversations_updated_at,CREATE INDEX idx_direct_conversations_updated_at ON public.direct_conversations USING btree (updated_at DESC)
public,direct_messages,direct_messages_pkey,CREATE UNIQUE INDEX direct_messages_pkey ON public.direct_messages USING btree (id)
public,direct_messages,idx_direct_messages_conversation,CREATE INDEX idx_direct_messages_conversation ON public.direct_messages USING btree (conversation_id)
public,direct_messages,idx_direct_messages_created_at,CREATE INDEX idx_direct_messages_created_at ON public.direct_messages USING btree (created_at DESC)
public,direct_messages,idx_direct_messages_reply_to,CREATE INDEX idx_direct_messages_reply_to ON public.direct_messages USING btree (reply_to_message_id)
public,direct_messages,idx_direct_messages_sender,CREATE INDEX idx_direct_messages_sender ON public.direct_messages USING btree (sender_id)
public,direct_typing_indicators,direct_typing_indicators_conversation_id_user_id_key,"CREATE UNIQUE INDEX direct_typing_indicators_conversation_id_user_id_key ON public.direct_typing_indicators USING btree (conversation_id, user_id)"
public,direct_typing_indicators,direct_typing_indicators_pkey,CREATE UNIQUE INDEX direct_typing_indicators_pkey ON public.direct_typing_indicators USING btree (id)
public,direct_typing_indicators,idx_typing_conversation,CREATE INDEX idx_typing_conversation ON public.direct_typing_indicators USING btree (conversation_id)
public,direct_typing_indicators,idx_typing_updated_at,CREATE INDEX idx_typing_updated_at ON public.direct_typing_indicators USING btree (updated_at)
public,email_replies,email_replies_pkey,CREATE UNIQUE INDEX email_replies_pkey ON public.email_replies USING btree (id)
public,email_templates,email_templates_pkey,CREATE UNIQUE INDEX email_templates_pkey ON public.email_templates USING btree (id)
public,email_templates,idx_email_templates_category,CREATE INDEX idx_email_templates_category ON public.email_templates USING btree (category)
public,email_templates,idx_email_templates_created_by,CREATE INDEX idx_email_templates_created_by ON public.email_templates USING btree (created_by)
public,email_templates,idx_email_templates_is_active,CREATE INDEX idx_email_templates_is_active ON public.email_templates USING btree (is_active)
public,incoming_emails,idx_incoming_emails_created,CREATE INDEX idx_incoming_emails_created ON public.incoming_emails USING btree (created_at DESC)
public,incoming_emails,idx_incoming_emails_from,CREATE INDEX idx_incoming_emails_from ON public.incoming_emails USING btree (from_email)
public,incoming_emails,idx_incoming_emails_read,CREATE INDEX idx_incoming_emails_read ON public.incoming_emails USING btree (read)
public,incoming_emails,idx_incoming_emails_to,CREATE INDEX idx_incoming_emails_to ON public.incoming_emails USING btree (to_email)
public,incoming_emails,incoming_emails_pkey,CREATE UNIQUE INDEX incoming_emails_pkey ON public.incoming_emails USING btree (id)
public,location_distance_cache,idx_location_distance_coach,CREATE INDEX idx_location_distance_coach ON public.location_distance_cache USING btree (coach_id)
public,location_distance_cache,location_distance_cache_coach_id_from_location_id_to_locati_key,"CREATE UNIQUE INDEX location_distance_cache_coach_id_from_location_id_to_locati_key ON public.location_distance_cache USING btree (coach_id, from_location_id, to_location_id)"
public,location_distance_cache,location_distance_cache_pkey,CREATE UNIQUE INDEX location_distance_cache_pkey ON public.location_distance_cache USING btree (id)
public,message_templates,idx_templates_team,CREATE INDEX idx_templates_team ON public.message_templates USING btree (team_id)
public,message_templates,message_templates_pkey,CREATE UNIQUE INDEX message_templates_pkey ON public.message_templates USING btree (id)
public,messages,idx_messages_conversation,CREATE INDEX idx_messages_conversation ON public.messages USING btree (conversation_id)
public,messages,idx_messages_created,CREATE INDEX idx_messages_created ON public.messages USING btree (created_at DESC)
public,messages,idx_messages_from,CREATE INDEX idx_messages_from ON public.messages USING btree (from_email)
public,messages,messages_pkey,CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
public,moderation_actions,idx_moderation_actions_created,CREATE INDEX idx_moderation_actions_created ON public.moderation_actions USING btree (created_at DESC)
public,moderation_actions,idx_moderation_actions_moderator,CREATE INDEX idx_moderation_actions_moderator ON public.moderation_actions USING btree (moderator_id)
public,moderation_actions,idx_moderation_actions_report,CREATE INDEX idx_moderation_actions_report ON public.moderation_actions USING btree (report_id)
public,moderation_actions,idx_moderation_actions_target,"CREATE INDEX idx_moderation_actions_target ON public.moderation_actions USING btree (target_entity_type, target_entity_id)"
public,moderation_actions,moderation_actions_pkey,CREATE UNIQUE INDEX moderation_actions_pkey ON public.moderation_actions USING btree (id)
public,newsletter_campaigns,idx_campaigns_created_at,CREATE INDEX idx_campaigns_created_at ON public.newsletter_campaigns USING btree (created_at)
public,newsletter_campaigns,idx_campaigns_status,CREATE INDEX idx_campaigns_status ON public.newsletter_campaigns USING btree (status)
public,newsletter_campaigns,newsletter_campaigns_pkey,CREATE UNIQUE INDEX newsletter_campaigns_pkey ON public.newsletter_campaigns USING btree (id)
public,newsletter_sends,idx_sends_campaign,CREATE INDEX idx_sends_campaign ON public.newsletter_sends USING btree (campaign_id)
public,newsletter_sends,idx_sends_status,CREATE INDEX idx_sends_status ON public.newsletter_sends USING btree (status)
public,newsletter_sends,idx_sends_subscriber,CREATE INDEX idx_sends_subscriber ON public.newsletter_sends USING btree (subscriber_id)
public,newsletter_sends,newsletter_sends_pkey,CREATE UNIQUE INDEX newsletter_sends_pkey ON public.newsletter_sends USING btree (id)
public,newsletter_subscribers,idx_newsletter_email,CREATE INDEX idx_newsletter_email ON public.newsletter_subscribers USING btree (email)
public,newsletter_subscribers,idx_newsletter_status,CREATE INDEX idx_newsletter_status ON public.newsletter_subscribers USING btree (status)
public,newsletter_subscribers,idx_newsletter_subscribed_at,CREATE INDEX idx_newsletter_subscribed_at ON public.newsletter_subscribers USING btree (subscribed_at)
public,newsletter_subscribers,newsletter_subscribers_email_key,CREATE UNIQUE INDEX newsletter_subscribers_email_key ON public.newsletter_subscribers USING btree (email)
public,newsletter_subscribers,newsletter_subscribers_pkey,CREATE UNIQUE INDEX newsletter_subscribers_pkey ON public.newsletter_subscribers USING btree (id)
public,saved_replies,idx_saved_replies_user,CREATE INDEX idx_saved_replies_user ON public.saved_replies USING btree (user_id)
public,saved_replies,saved_replies_pkey,CREATE UNIQUE INDEX saved_replies_pkey ON public.saved_replies USING btree (id)
public,saved_replies,saved_replies_user_id_shortcut_key,"CREATE UNIQUE INDEX saved_replies_user_id_shortcut_key ON public.saved_replies USING btree (user_id, shortcut)"
public,sessions,idx_sessions_coach,"CREATE INDEX idx_sessions_coach ON public.sessions USING btree (coach_id, start_time)"
public,sessions,idx_sessions_coach_end_time,"CREATE INDEX idx_sessions_coach_end_time ON public.sessions USING btree (coach_id, end_time DESC) WHERE (status <> 'cancelled'::session_status)"
public,sessions,idx_sessions_coach_start_time,"CREATE INDEX idx_sessions_coach_start_time ON public.sessions USING btree (coach_id, start_time) WHERE (status <> 'cancelled'::session_status)"
public,sessions,idx_sessions_coach_time,"CREATE INDEX idx_sessions_coach_time ON public.sessions USING btree (coach_id, start_time, end_time) WHERE (status <> 'cancelled'::session_status)"
public,sessions,idx_sessions_status,CREATE INDEX idx_sessions_status ON public.sessions USING btree (status)
public,sessions,idx_sessions_student,"CREATE INDEX idx_sessions_student ON public.sessions USING btree (student_id, start_time)"
public,sessions,idx_sessions_time,"CREATE INDEX idx_sessions_time ON public.sessions USING btree (start_time, end_time)"
public,sessions,sessions_pkey,CREATE UNIQUE INDEX sessions_pkey ON public.sessions USING btree (id)
public,sla_rules,sla_rules_pkey,CREATE UNIQUE INDEX sla_rules_pkey ON public.sla_rules USING btree (id)
public,support_messages,idx_support_messages_created,CREATE INDEX idx_support_messages_created ON public.support_messages USING btree (created_at)
public,support_messages,idx_support_messages_ticket,CREATE INDEX idx_support_messages_ticket ON public.support_messages USING btree (ticket_id)
public,support_messages,support_messages_pkey,CREATE UNIQUE INDEX support_messages_pkey ON public.support_messages USING btree (id)
public,support_tickets,idx_support_tickets_assigned,CREATE INDEX idx_support_tickets_assigned ON public.support_tickets USING btree (assigned_to)
public,support_tickets,idx_support_tickets_category,CREATE INDEX idx_support_tickets_category ON public.support_tickets USING btree (category)
public,support_tickets,idx_support_tickets_created,CREATE INDEX idx_support_tickets_created ON public.support_tickets USING btree (created_at DESC)
public,support_tickets,idx_support_tickets_priority,CREATE INDEX idx_support_tickets_priority ON public.support_tickets USING btree (priority)
public,support_tickets,idx_support_tickets_status,CREATE INDEX idx_support_tickets_status ON public.support_tickets USING btree (status)
public,support_tickets,idx_support_tickets_user,CREATE INDEX idx_support_tickets_user ON public.support_tickets USING btree (user_id)
public,support_tickets,support_tickets_pkey,CREATE UNIQUE INDEX support_tickets_pkey ON public.support_tickets USING btree (id)
public,support_tickets,support_tickets_ticket_number_key,CREATE UNIQUE INDEX support_tickets_ticket_number_key ON public.support_tickets USING btree (ticket_number)
public,team_members,idx_team_members_team,CREATE INDEX idx_team_members_team ON public.team_members USING btree (team_id)
public,team_members,idx_team_members_user,CREATE INDEX idx_team_members_user ON public.team_members USING btree (user_id)
public,team_members,team_members_pkey,CREATE UNIQUE INDEX team_members_pkey ON public.team_members USING btree (id)
public,team_members,team_members_team_id_user_id_key,"CREATE UNIQUE INDEX team_members_team_id_user_id_key ON public.team_members USING btree (team_id, user_id)"
public,teams,teams_pkey,CREATE UNIQUE INDEX teams_pkey ON public.teams USING btree (id)
public,teams,teams_slug_key,CREATE UNIQUE INDEX teams_slug_key ON public.teams USING btree (slug)
public,user_presence,idx_user_presence_last_seen,CREATE INDEX idx_user_presence_last_seen ON public.user_presence USING btree (last_seen)
public,user_presence,idx_user_presence_status,CREATE INDEX idx_user_presence_status ON public.user_presence USING btree (status)
public,user_presence,user_presence_pkey,CREATE UNIQUE INDEX user_presence_pkey ON public.user_presence USING btree (user_id)
public,user_suspensions,idx_user_suspensions_active,CREATE INDEX idx_user_suspensions_active ON public.user_suspensions USING btree (is_active) WHERE (is_active = true)
public,user_suspensions,idx_user_suspensions_expires,CREATE INDEX idx_user_suspensions_expires ON public.user_suspensions USING btree (expires_at)
public,user_suspensions,idx_user_suspensions_user,CREATE INDEX idx_user_suspensions_user ON public.user_suspensions USING btree (user_id)
public,user_suspensions,user_suspensions_pkey,CREATE UNIQUE INDEX user_suspensions_pkey ON public.user_suspensions USING btree (id)
public,users,idx_users_email,CREATE INDEX idx_users_email ON public.users USING btree (email)
public,users,idx_users_role,CREATE INDEX idx_users_role ON public.users USING btree (role)
public,users,idx_users_verified,CREATE INDEX idx_users_verified ON public.users USING btree (is_verified)
public,users,users_email_key,CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)
public,users,users_pkey,CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
